Altium Designer Pick and Place Locations
C:\Users\Krishnawa\Git\SRT-WREN-V103\SRT-WREN-V103\PCB_101\PCB\Project Outputs for BLE_DA14531\Pick Place for SRT-WREN-25-22-V103.csv

========================================================================================================================
File Design Information:

Date:       17/11/22
Time:       16:43
Revision:   993839116251166db017433b2bab13e3fed9c350
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"CON1","8pin 1.25","TopLayer","8Pin_1.25mm_SMT","15.9628","4.2625","0",""
"U2","XC6220B331PR-G","TopLayer","CONV_AL8861Y-13","26.4300","10.0140","270",""
"U3","ZXBM5210","TopLayer","SOIC127P600X180-8N","6.9990","11.1570","270",""
"C2","10uF","TopLayer","0603_C","29.8590","8.6805","270","Capacitor"
"C3","10uF","TopLayer","0603_C","4.0780","17.0625","270","Capacitor"
"C4","10uF","TopLayer","0603_C","6.2370","17.0625","270","Capacitor"
"R7","10K","TopLayer","0603_R","25.9855","18.3960","180","Resistor"
"R8","10K","TopLayer","0603_R","25.9855","20.4280","0","Resistor"
"R1","10K","TopLayer","0603_R","18.7465","12.6810","180","Resistor"
"R4","10K","TopLayer","0603_R","12.5235","8.1090","0","Resistor"
"R6","100E","TopLayer","0603_R","12.5235","9.8870","0","Resistor"
"R5","100E","TopLayer","0603_R","12.5235","12.3000","0","Resistor"
"U1","DA14531","TopLayer","DA14531","14.8730","20.0930","0",""
"R2","10K","TopLayer","0603_R","22.1755","9.4030","180","Resistor"
"Q2","Q2","TopLayer","SOT_523_P_MOS","22.0470","13.2340","90",""
"R3","10K(DNM)","TopLayer","0603_R","19.5720","9.9505","90","Resistor"
"C1","10uF","TopLayer","0603_C","26.7515","6.1250","180","Capacitor"
"D2","1N4148WS","TopLayer","SOD323","27.2990","15.3870","180","Diode Standard 100V 150mA Surface Mount SOD-123"
"CON2","6pin 2.54","TopLayer","6PIN_2.54","1.5750","12.7250","90",""
"Q1","BC847","TopLayer","BC846","16.9730","9.4190","270",""
"D1","1N4148WS","TopLayer","SOD323","5.0370","3.5010","90","Diode Standard 100V 150mA Surface Mount SOD-123"
