Change component parameters: Designator = "Q1" ("Q1"); Footprint = "BC846"; UniqueID = "\UOUEJLNW" ("\UOUEJLNW")
Change component parameters (AddParameter): Name = "D"; Value = "Bipolar Transistors - BJT BC847/SOT23/TO-236AB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR"; Value = "Nexperia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PN"; Value = "BC847,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = "https://www.mouser.in/ProductDetail/Nexperia/BC847215?qs=me8TqzrmIYWROhdFmDauyQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2" ("Q2"); Footprint = "SOT_523_P_MOS"; UniqueID = "\JKHTPAVA" ("\JKHTPAVA")
Change component parameters (AddParameter): Name = "D"; Value = "MOSFET 20V P-Ch Enh FET PD 0.24W MIN RDSon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P"; Value = "SOT-523-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PN"; Value = "DMP21D0UT-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = "https://www.mouser.in/ProductDetail/Diodes-Incorporated/DMP21D0UT-7?qs=F5djdNSOT4bGXq%252B9HtekMQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "0603_R"; UniqueID = "\PWWNCOND" ("\PWWNCOND")
Change component parameters (AddParameter): Name = "D"; Value = "100R Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PN"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "0603_R"; UniqueID = "\CTYTCPYE" ("\CTYTCPYE")
Change component parameters (AddParameter): Name = "D"; Value = "Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PN"; Value = ""; VariantName = "[No Variations]"
