"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"CON1","8Pin_1.25mm_SMT","628.456mil","167.815mil","455.709mil","228.346mil","455.709mil","229.331mil","T","0.00","8pin 1.25"
"U2","CONV_AL8861Y-13","1040.551mil","394.252mil","1040.551mil","394.252mil","1099.606mil","459.213mil","T","270.00","XC6220B331PR-G"
"U3","SOIC127P600X180-8N","275.551mil","439.252mil","275.551mil","439.252mil","350.551mil","542.598mil","T","270.00","ZXBM5210"
"C2","0603_C","1175.551mil","341.752mil","1175.551mil","369.252mil","1175.551mil","369.252mil","T","270.00","10uF"
"C3","0603_C","160.551mil","671.752mil","160.551mil","699.252mil","160.551mil","699.252mil","T","270.00","10uF"
"C4","0603_C","245.551mil","671.752mil","245.551mil","699.252mil","245.551mil","699.252mil","T","270.00","10uF"
"R7","0603_R","1023.051mil","724.252mil","1050.551mil","724.252mil","1050.551mil","724.252mil","T","180.00","10K"
"R8","0603_R","1023.051mil","804.252mil","995.551mil","804.252mil","995.551mil","804.252mil","T","0.00","10K"
"R1","0603_R","738.051mil","499.252mil","765.551mil","499.252mil","765.551mil","499.252mil","T","180.00","10K"
"R4","0603_R","493.051mil","319.252mil","465.551mil","319.252mil","465.551mil","319.252mil","T","0.00","10K"
"R6","0603_R","493.051mil","389.252mil","465.551mil","389.252mil","465.551mil","389.252mil","T","0.00","100E"
"R5","0603_R","493.051mil","484.252mil","465.551mil","484.252mil","465.551mil","484.252mil","T","0.00","100E"
"U1","DA14531","585.551mil","791.063mil","585.551mil","879.252mil","359.173mil","943.622mil","T","0.00","DA14531"
"R2","0603_R","873.051mil","370.197mil","900.551mil","370.197mil","900.551mil","370.197mil","T","180.00","10K"
"Q2","SOT_523_P_MOS","867.992mil","521.024mil","870.551mil","519.252mil","867.992mil","563.15mil","T","90.00","Q2"
"R3","0603_R","770.551mil","391.752mil","770.551mil","364.252mil","770.551mil","364.252mil","T","90.00","10K(DNM)"
"C1","0603_C","1053.209mil","241.142mil","1080.709mil","241.142mil","1080.709mil","241.142mil","T","180.00","10uF"
"D2","SOD323","1074.764mil","605.787mil","1065.945mil","604.331mil","1019.646mil","605.787mil","T","180.00","1N4148WS"
"CON2","6PIN_2.54","62.008mil","500.984mil","62.008mil","250.984mil","62.008mil","250.984mil","T","90.00","6pin 2.54"
"Q1","BC846","668.228mil","370.827mil","668.307mil","371.063mil","668.228mil","324.567mil","T","270.00","BC847"
"D1","SOD323","198.307mil","137.835mil","196.85mil","146.654mil","198.307mil","192.953mil","T","90.00","1N4148WS"

